article,corpus,target,label
"
For the purpose of a contest, I'd bet some things could be cut.  Like fuel
for re-entry, any kind of heat shielding, etc., etc.  Even still, if the
contest participants had to fund DC-1 development, it probably wouldn't be
worth it to develop DC-1 (just for the contest).  Just give me the cheapest
heaviest lift man rated (or at least under 6 or so Gs) booster...  If I
don't have to pay for DC-1 development, great!, I'll use it.

But back to the contest goals, there was a recent article in AW&ST about a
low cost (it's all relative...) manned return to the moon.  A General
Dynamics scheme involving a Titan IV & Shuttle to lift a Centaur upper
stage, LEV, and crew capsule.  The mission consists of delivering two
unmanned payloads to the lunar surface, followed by a manned mission. 
Total cost:  US was $10-$13 billion.  Joint ESA(?)/NASA project was $6-$9
billion for the US share.

I didn't find a mention of how long the crew could stay, but I'd bet that
its  around 30 days.  And the total payload delivered was about 30 metric
tonnes.  So if you ignore the scientific payload, hitch a ride in the crew
habitation module (no return trip...), and toss in a few more tonnes for
the additional consumables to last another 11 months, then you *might* be
able to get a year visit out of 15 tonnes (and in case its not obvious,
that's a wild ass guess).  A pretty boring visit, since every trip outdoors
eats up a bit of LOX.  And I'm not certain if a home brewed (or
college-brewed) life support system could last a year.  But let's round
this up to 19.4 tonnes (convient, since the GD plan talks about 9.7 ton
payloads delivered to the lunar surface.  This adds up to two Centaurs, two
LEVs, two Shuttle flights... All to put a single man on the moon for a
year.   Hmmm.  Not really practical.  Anyone got a cheaper/better way of
delivering 15-20 tonnes to the lunar surface within the decade?  Anyone
have a more precise guess about how much a year's supply of consumables and
equipment would weigh?

And I was wondering about the GD LEV.  Is it reusable?  Or is it discarded
to burn up on return to LEO?  If its not discarded, could it be refueled? 
Henry: Do you know anything about the GD LEV?  I noted that it uses RL-10
engines.  Aren't they reusable/restartable?  Would a LEV fit in a DC-1? 
I've forgotten (if I ever knew) what the cargo bay dimensions are for the
DC-1.

All in all, I'm not certain that the single goal/prize of staying on the
moon for a year is wise and/or useful.  How about:  A prize for the first
non-government sponsered unmanned moon landing, then another for a manned
moon landing, then yet another for a system to extract consumables from
lunar soil, another for a reusable earth/moon shuttle, and so forth.  Find
some way to build civilian moonbase infrastructure...  Having a single goal
might result in a bunch of contestents giving up after one person appeared
to win.  And for those that didn't give up, I find something a little scary
about a half dozen people huddling in rickety little moon shelters.  I'd
like to see as much a reward for co-operation as for competition.

Lastly, about ten or fifteen years back I seem to recall that there was an
English space magazine that had an on-going discussion about moonbases on
the cheap.  I recalled it discussed things like how much heat the human
body produced, how much lunar material it'd need for protection from solar
flares, etc.  Unfortunately I don't remember the name of this magazine. 
Does this ring a bell to anyone?",purpose contest would bet thing could cut like fuel reentry kind heat shielding etc etc even still contest participant fund dc1 development probably not worth develop dc1 contest give cheap heavy lift man rate least 6 gs booster not pay dc1 development great use back contest goal recent article awst low cost relative manned return moon general dynamic scheme involve titan iv shuttle lift centaur upper stage lev crew capsule mission consist deliver two unmanned payload lunar surface follow manned mission total cost we 1013 billion joint esanasa project 69 billion we share not find mention long crew could stay would bet around 30 day total payload deliver 30 metric tonne ignore scientific payload hitch ride crew habitation module return trip toss tonne additional consumable last another 11 month might able get year visit 15 tonne case not obvious wild ass guess pretty boring visit since every trip outdoors eat bit lox not certain home brew collegebrewed life support system could last year let round 194 tonne convient since gd plan talk 97 ton payload deliver lunar surface add two centaur two levs two shuttle flight put single man moon year hmmm not really practical anyone get cheaperbett way deliver 1520 tonne lunar surface within decade anyone precise guess much year supply consumable equipment would weigh wonder gd lev reusable discard burn return leo not discard could refuel henry know anything gd lev note use rl10 engine not reusablerestartable would lev fit dc1 forget ever know cargo bay dimension dc1 not certain single goalprize stay moon year wise andor useful prize first nongovernment sponsere unmanned moon land another manned moon landing yet another system extract consumable lunar soil another reusable earthmoon shuttle forth find way build civilian moonbase infrastructure single goal might result bunch contestent give one person appear win not give find something little scary half dozen people huddle rickety little moon shelter would like see much reward cooperation competition lastly ten fifteen year back seem recall english space magazine ongoing discussion moonbase cheap recall discuss thing like much heat human body produce much lunar material would need protection solar flare etc unfortunately not remember name magazine ring bell anyone,2,sci.space
"I recently sold my Nighthawk in order to upgrade to a zippy little sport
bike.  I am, however, partial to the bigger zippy bikes like the GSX-R 750.

There is only one in my town for sale, and he is not sure whether he wants
to part with it or not!

Please send me email if you would like to sell yours, know of one for sale,
or could just offer details on the performance of yours even if you wouldn't
sell.

I appreciate any help!

THE HYPEMAN",recently sell nighthawk order upgrade zippy little sport bike however partial big zippy bike like gsxr 750 one town sale not sure whether want part not please send email would like sell know one sale could offer detail performance even not sell appreciate help hypeman,1,rec.motorcycles
"2-The-Max VESA VL video controller/ Cirus Logic chipset

(2Mb ram, 24-bit color, 1280x1024 NI)


Does XFree1.2 (or 2.0) support this card?
",2themax vesa vl video controller cirus logic chipset 2 mb ram 24bit color 1280x1024 ni xfree12 20 support card,0,comp.sys.ibm.pc.hardware
"David Gibbs replies:

I guess I was semi-serious. Without using my hands, I lean and the bike 
turns. When leaning, a torque is applied, at a 90deg angle to the front 
wheel's axle, just as in countersteering. However, this torque is also about 
90deg from the axis of the steering head. Instead of making the 
bike lean, gyroscopic effect makes the bars turn, but I don't remember 
which way.

-Rick

Oh yeah, I tried this in the driveway, on the centestand,(as suggested 
somewhere else) but it doesn't seem to work the same.

",david gibb reply guess semiserious without use hand lean bike turn lean torque apply 90deg angle front wheel axle countersteere however torque also 90deg axis steering head instead make bike lean gyroscopic effect make bar turn not remember way rick oh yeah try driveway centestanda suggest somewhere else not seem work,1,rec.motorcycles
"
I read that GM wants to keep the Design part of Lotus but lose the car
production. And, I seem to remember, that the main problem with the Elan
was caused by GM's insistence that the Elan be re-designed (significantly)
for the US market which caused major design & production headaches. 


Quite true - brain fade on my part.
",read gm want keep design part lotus lose car production seem remember main problem elan cause gm insistence elan redesign significantly we market cause major design production headache quite true brain fade part,1,rec.motorcycles
"
Yep.
",yep,1,rec.motorcycles
"                                           ^^^^^^^^^^

Zounds!  There's a blast from the past indeed!  I'd nearly forgotten
about the strategic significance of strabismic in r.m lore.  It's
really good to see it proudly displayed again, although I'm sure
by now that its carbs are spooge-o-rama from long disuse.

Gosh, I'm tingling all over!",zound blast past indeed would nearly forget strategic significance strabismic rm lore really good see proudly display although sure carb spoogeorama long disuse gosh tingling,1,rec.motorcycles
"
    For discussion purposes, I will ignore dynamic effects like pulses
in the exhaust pipe, and try to paint a useful mental picture.

1.  Unless an engine is supercharged, the pressure available to force
air into the intake tract is _atmospheric_.  At the time the intake
valve is opened, the pressure differential available to move air is only
the difference between the combustion chamber pressure (left over after
the exhaust stroke) and atmospheric.  As the piston decends on the
intake stroke, combustion chamber pressure is decreased, allowing
atmospheric pressure to move more air into the intake tract.  At no time
does the pressure ever become ""negative"", or even approach a good
vacuum.

2.  At the time of the exhaust valve closing, the pressure in the
combustion chamber is essentially the pressure of the exhaust system up
to the first major flow restriction (the muffler).  Note that the volume
of gas that must flow through the exhaust is much larger than the volume
that must flow through the intake, because of the temperature
difference and the products of combustion.

3.  In the last 6-8 years, the Japanese manufacturers have started
paying attention to exhaust and intake tuning, in pursuit of almighty
horsepower.  At this point in time, on high-performance bikes,
substitution of an aftermarket free-flow air filter will have almost
zero affect on performance, because the stock intake system flows very
well anyway.  Substitution of an aftermarket exhaust system will make
very little difference, unless (in general) the new exhaust system is
_much_ louder than the stocker.

4.  On older bikes,  exhaust back-pressure was the dominating factor.
If free-flowing air filters were substituted, very little difference
was noted, unless a free-flowing exhaust system was installed as well.

5.  In general, an engine can be visualized as an air pump.  At any
given RPM, anything that will cause the engine to pump more air, be it
on the intake or exhaust side, will cause it to produce more horsepower.
Pumping more air will require recalibration (rejetting) of the carburetor.

-----------------------------------------------------------------------------",discussion purpose ignore dynamic effect like pulse exhaust pipe try paint useful mental picture 1 unless engine supercharge pressure available force air intake tract atmospheric time intake valve open pressure differential available move air difference combustion chamber pressure leave exhaust stroke atmospheric piston decend intake stroke combustion chamber pressure decrease allow atmospheric pressure move air intake tract time pressure ever become negative even approach good vacuum 2 time exhaust valve closing pressure combustion chamber essentially pressure exhaust system first major flow restriction muffler note volume gas must flow exhaust much large volume must flow intake temperature difference product combustion 3 last 68 year japanese manufacturer start pay attention exhaust intake tuning pursuit almighty horsepower point time highperformance bike substitution aftermarket freeflow air filter almost zero affect performance stock intake system flow well anyway substitution aftermarket exhaust system make little difference unless general new exhaust system much loud stocker 4 old bike exhaust backpressure dominate factor freeflowe air filter substitute little difference note unless freeflowe exhaust system instal well 5 general engine visualize air pump give rpm anything cause engine pump air intake exhaust side cause produce horsepower pumping air require recalibration rejette carburetor,1,rec.motorcycles
"From the ""JPL Universe""
April 23, 1993

Cosmologist Stephen Hawking tours Lab",jpl universe april 23 1993 cosmologist stephen hawk tour lab,2,sci.space
"

no argument on going direct to National (see my previous post on this topic),
but some info regarding what you said above.  I don't know about the 8250 or
16450, but NS was the original source for the 16550 series (and I strongly
suspect that they developed the others first, too).

I can also tell you that I'm one of those who won't buy a UART made by
anyone other than National Semiconductor.

   --jim

--
#include <std_disclaimer.h>                                 73 DE N5IAL (/4)
------------------------------------------------------------------------------
INTERNET: jim@n5ial.mythical.com  |  j.graham@ieee.org     ICBM: 30.23N 86.32W
AMATEUR RADIO: n5ial@w4zbb (Ft. Walton Beach, FL)          AMTOR SELCAL: NIAL",argument go direct national see previous post topic info regard say not know 8250 16450 n original source 16550 series strongly suspect develop other first also tell one not buy uart make anyone national semiconductor jim include stddisclaimerh 73 de n5ial 4 internet jimn5ialmythicalcom jgrahamieeeorg icbm 3023n 8632w amateur radio n5ialw4zbb ft walton beach fl amtor selcal nial,0,comp.sys.ibm.pc.hardware
"

Also would maybe get the Russians Involved. After all they do have the resources
to do it in part.. But they need the capital and the goal..

I wonder if renting the russians resources would be a disqualification?
",also would maybe get russian involve resource part need capital goal wonder rent russian resource would disqualification,2,sci.space
"
Bear in mind that a lot of the Vandenberg launch traffic is military and
at least semi-secret.  They aren't interested in publicizing it beforehand.",bear mind lot vandenberg launch traffic military least semisecret not interested publicizing beforehand,2,sci.space
"
are you sure 45g is the right number? as far as i know, pilots are
blackout in dives that exceed 8g - 9g. 45g seems to be out of human
tolerance. would anybody clarify this please.

lan
",sure 45 g right number far know pilot blackout dive exceed 8 g 9 g 45 g seem human tolerance would anybody clarify please lan,2,sci.space
"I have a friend with an original HP LaserJet.  The nameplate does not 
specify a number, but since the LJ II followed later, one assumes that he 
has a LJ I.   His problem is a tax program which requires a 17 cpi font to 
print the forms properly.

This unit came to market in 2 versions.  The plus version supported 
dowloadable fonts.  You can guess which one my friend has - the plain, not 
the plus.  The printer does though have a slot and he has a small selction 
of cartridges including a 16.6 cpi - but none with a 17 cpi font.

Can anyone suggest a source for a cartridge with a 17 (or 18?) cpi font?  
Alternatively, is an upgrade to the plus version available at reasonable 
cost?

Any suggestions would be welcome.

Thanks





---
 * WinQwk 2.0b#943 * Seattle Rain Festival - Jan. 1 to Dec. 31",friend original hp laserjet nameplate not specify number since lj ii follow later one assume lj problem tax program require 17 cpi font print form properly unit come market 2 version plus version support dowloadable font guess one friend plain not plus printer though slot small selction cartridge include 166 cpi none 17 cpi font anyone suggest source cartridge 17 18 cpi font alternatively upgrade plus version available reasonable cost suggestion would welcome thank winqwk 20b943 seattle rain festival jan 1 dec 31,0,comp.sys.ibm.pc.hardware
"
It's exactly as dangerous as it looks. You're hard to see and have little
protection. Keeping out of trouble means knowing your limits, keeping your
machine in good shape and being able to predict and make up for every stupid
move that drivers make out there. We deal with it because it's fun, but
staying alive takes a conscious effort.",exactly dangerous look hard see little protection keep trouble mean know limit keep machine good shape able predict make every stupid move driver make deal fun stay alive take conscious effort,1,rec.motorcycles
"

What he said.  Most of my friends refer to them as ""ground magnets.""  One



",say friend refer ground magnet one,1,rec.motorcycles
"I am thinking of going on a motorcycle tour in New Zealand in the
November-January timeframe.

There are a few tour companies doing this, notably Beach Tours.

Can anyone who has done this let me know of their experiences, both good and
bad?
Thanks.",think go motorcycle tour new zealand novemberjanuary timeframe tour company notably beach tour anyone do let know experience good bad thank,1,rec.motorcycles
"Does anyone know ifthe STS-56 email press kit was ever released?

-Tony Ryan, ""Astronomy & Space"", new International magazine, available from:
              Astronomy Ireland, P.O.Box 2888, Dublin 1, Ireland.
6 issues (one year sub.): UK 10.00 pounds, US$20 surface (add US$8 airmail).
ACCESS/VISA/MASTERCARD accepted (give number, expiration date, name&address).",anyone know ifthe sts56 email press kit ever release tony ryan astronomy space new international magazine available astronomy ireland pobox 2888 dublin 1 ireland 6 issue one year sub uk 1000 pound us20 surface add us8 airmail accessvisamastercard accept give number expiration date nameaddress,2,sci.space
"My old jacket is about to bite the dust so I'm in the market for a new riding
jacket.  I'm looking for  recommendations for a suitable replacement.  I would
like to buy a full Aerostich suit but I can't afford $700 for it right now.

I'm considering two basic options:

1)  Buy the Aerostich jacket only.  Dunno how much it costs
    due to recent price increases, but I'd imagine over $400.
    That may be pushing my limit.  Advantages include the fact
    that I can later add the pants, and that it nearly eliminates
    the need for the jacket portion of a rainsuit.

2)  Buy some kind of leather jacket.  I like a few of the new 
    Hein-Gericke FirstGear line, however they may be a bit pricey
    unless I can work some sort of deal.  Advantages of leather
    are potentially slightly better protection, enhanced pose
    value (we all know how important that is :-), possibly cheaper
    than upper Aerostich.

Requirements for a jacket are that it must fit over a few other 
layers (mainly a sizing thing), if leather i'd prefer a zip-out 
lining, it MUST have some body armor similar to aerostich (elbows, 
shoulders, forearms, possibly back/kidney protection, etc.), a 
reasonable amount of pocket space would be nice, ventilation would 
be a plus, however it must be wearable in cold weather (below
freezing) with layers or perhaps electrics.

Please fire away with suggestions, comments, etc...

Steve
--",old jacket bite dust market new ride jacket look recommendation suitable replacement would like buy full aerostich suit not afford 700 right consider two basic option 1 buy aerostich jacket dunno much cost due recent price increase would imagine 400 may push limit advantage include fact later add pant nearly eliminate need jacket portion rainsuit 2 buy kind leather jacket like new heingericke firstgear line however may bit pricey unless work sort deal advantage leather potentially slightly well protection enhance pose value know important possibly cheap upper aerostich requirement jacket must fit layer mainly size thing leather would prefer zipout lining must body armor similar aerostich elbow shoulder forearm possibly backkidney protection etc reasonable amount pocket space would nice ventilation would plus however must wearable cold weather freeze layer perhaps electric please fire away suggestion comment etc steve,1,rec.motorcycles
"
Actually, the situation is even worse than that.  The *total mass* of the
Pluto Fast Flyby spacecraft is only 250ish pounds, and most of that is
support equipment like power and communications.  The mass available for
instruments is maybe 10% of that.  I don't think a BATSE will fit...

Actually, would you need the shielding?  My understanding is that it's
mostly there to give the detectors some directionality.  No point in
doing that if you've only got one.  I'm sure the burst detectors that
have flown on other deep-space missions haven't weighed that much.
(Mind you, they're probably still too heavy -- the PFF people would put
more Pluto-specific instruments on first, if they had any mass to spare.)",actually situation even bad total mass pluto fast flyby spacecraft 250ish pound support equipment like power communication mass available instrument maybe 10 not think batse fit actually would need shielding understanding mostly give detector directionality point get one sure burst detector fly deepspace mission not weigh much mind probably still heavy pff people would put plutospecific instrument first mass spare,2,sci.space
"Could someone please give me some info regarding the USR Sportsters that have
recently dropped below $200? I was going to buy a used Courier v32bis external
without fax for $200 but now I see the Sportster with Fax is selling below
$200 brand new! Are these good modems? What warranty do they carry?

Any info very much appreciated.

Kevin",could someone please give info regard usr sportster recently drop 200 go buy use courier v32bis external without fax 200 see sportster fax sell 200 brand new good modem warranty carry info much appreciate kevin,0,comp.sys.ibm.pc.hardware
"
I have a bayonet in the factory scabbard from a Swedish Mouser mounted to 
the handlebars of my Zuki'.  That 10"" blade and my long arms do quite well 
thank you.

 ----===== DoD #8177 = Technician(Dr. Speed) .NOT. Student =====----",bayonet factory scabbard swedish mouser mount handlebar zuki 10 blade long arm quite well thank dod 8177 techniciandr speed not student,1,rec.motorcycles
"I've posted a couple of notes about encountering this problem. Based on some 
suggestions from:

Mark Aitchison, University of Canterbury, New Zealand.
	and
Chris A. Larrieu @cs.wm.edu

I think that my problem is a screen saver that also outputs sound (to my 
PC speaker). I'm still looking at some of the other screen savers that I 
use (with a randomizer), but this one definately caused the loss of several 
minutes over night (but not the date this time). ",post couple note encounter problem base suggestion mark aitchison university canterbury new zealand chris larrieu cswmedu think problem screen saver also output sound pc speaker still look screen saver use randomizer one definately cause loss several minute night not date time,0,comp.sys.ibm.pc.hardware
"
The only things you'll be able to salvage from the junior are the floppy drives
and monitor.  The floppies are 360k, and the monitor is CGA, but you will need
an adaptor cable to use it.  The junior does not use standard cards.  Unless 
you're really strapped for cash, you should just junk the thing and buy new 
stuff.

Dan
",thing able salvage junior floppy drive monitor floppy 360k monitor cga need adaptor cable use junior not use standard card unless really strap cash junk thing buy new stuff dan,0,comp.sys.ibm.pc.hardware
